"date","max_temp","mean_temp","min_temp"
"2015-1-1",2,-3,-10
"2015-1-2",5,-1,-7
"2015-1-3",3,-3,-8
"2015-1-4",8,0,-8
"2015-1-5",11,4,-4
"2015-1-6",6,0,-6
"2015-1-7",3,-2,-8
"2015-1-8",5,-3,-11
"2015-1-9",7,0,-7
"2015-1-10",13,1,-10
"2015-1-11",6,1,-3
"2015-1-12",4,-2,-7
"2015-1-13",3,-2,-7
"2015-1-14",1,-3,-7
"2015-1-15",0,-4,-8
"2015-1-16",4,-2,-7
"2015-1-17",3,-2,-7
"2015-1-18",7,2,-3
"2015-1-19",6,-2,-10
"2015-1-20",5,-2,-9
"2015-1-21",7,0,-7
"2015-1-22",6,-3,-11
"2015-1-23",7,-1,-9
"2015-1-24",4,0,-4
"2015-1-25",5,1,-2
"2015-1-26",5,-1,-7
"2015-1-27",1,-6,-11
"2015-1-28",1,-4,-9
"2015-1-29",5,1,-4
"2015-1-30",2,-3,-9
"2015-1-31",4,-2,-8
"2015-2-1",3,-3,-10
"2015-2-2",3,-3,-9
"2015-2-3",8,1,-5
"2015-2-4",7,2,-2
"2015-2-5",9,1,-6
"2015-2-6",11,2,-7
"2015-2-7",6,1,-5
"2015-2-8",1,-6,-12
"2015-2-9",6,-3,-11
"2015-2-10",13,2,-8
"2015-2-11",10,2,-5
"2015-2-12",7,0,-6
"2015-2-13",9,0,-8
"2015-2-14",11,2,-6
"2015-2-15",8,2,-4
"2015-2-16",13,3,-6
"2015-2-17",11,6,1
"2015-2-18",11,4,-2
"2015-2-19",6,1,-3
"2015-2-20",2,1,0
"2015-2-21",5,2,-2
"2015-2-22",4,0,-4
"2015-2-23",6,-1,-7
"2015-2-24",6,0,-5
"2015-2-25",7,2,-2
"2015-2-26",6,0,-6
"2015-2-27",2,-1,-3
"2015-2-28",4,1,-3
"2015-3-1",12,3,-6
"2015-3-2",15,5,-5
"2015-3-3",7,3,-1
"2015-3-4",7,0,-7
"2015-3-5",8,0,-7
"2015-3-6",10,2,-5
"2015-3-7",12,3,-4
"2015-3-8",14,6,-2
"2015-3-9",5,0,-5
"2015-3-10",9,0,-8
"2015-3-11",12,3,-6
"2015-3-12",13,4,-4
"2015-3-13",13,4,-5
"2015-3-14",11,6,1
"2015-3-15",17,7,-3
"2015-3-16",14,10,6
"2015-3-17",17,10,3
"2015-3-18",14,9,4
"2015-3-19",20,10,1
"2015-3-20",21,12,4
"2015-3-21",20,15,10
"2015-3-22",14,10,6
"2015-3-23",19,8,-2
"2015-3-24",16,9,3
"2015-3-25",18,10,2
"2015-3-26",21,12,3
"2015-3-27",21,13,6
"2015-3-28",25,17,9
"2015-3-29",24,14,6
"2015-3-30",23,17,12
"2015-3-31",17,12,7
"2015-4-1",14,9,5
"2015-4-2",14,9,4
"2015-4-3",16,11,6
"2015-4-4",17,12,8
"2015-4-5",18,13,7
"2015-4-6",12,8,4
"2015-4-7",14,7,0
"2015-4-8",15,8,2
"2015-4-9",18,10,2
"2015-4-10",21,13,5
"2015-4-11",19,14,8
"2015-4-12",11,8,5
"2015-4-13",19,12,5
"2015-4-14",26,14,4
"2015-4-15",25,17,8
"2015-4-16",22,16,11
"2015-4-17",26,16,6
"2015-4-18",22,18,14
"2015-4-19",22,16,11
"2015-4-20",23,14,5
"2015-4-21",27,17,8
"2015-4-22",26,16,7
"2015-4-23",30,20,11
"2015-4-24",27,17,7
"2015-4-25",32,20,9
"2015-4-26",31,21,12
"2015-4-27",28,22,17
"2015-4-28",26,21,16
"2015-4-29",27,20,14
"2015-4-30",30,23,16
"2015-5-1",26,20,14
"2015-5-2",24,18,13
"2015-5-3",25,19,13
"2015-5-4",24,16,8
"2015-5-5",29,19,10
"2015-5-6",22,18,14
"2015-5-7",27,18,9
"2015-5-8",25,18,11
"2015-5-9",16,13,11
"2015-5-10",12,11,9
"2015-5-11",20,14,9
"2015-5-12",28,19,11
"2015-5-13",32,21,10
"2015-5-14",27,22,17
"2015-5-15",26,21,16
"2015-5-16",30,20,11
"2015-5-17",27,22,18
"2015-5-18",28,23,18
"2015-5-19",27,19,12
"2015-5-20",30,21,12
"2015-5-21",30,21,13
"2015-5-22",30,21,12
"2015-5-23",32,23,15
"2015-5-24",33,26,18
"2015-5-25",34,27,19
"2015-5-26",35,28,21
"2015-5-27",32,26,20
"2015-5-28",31,26,20
"2015-5-29",31,26,20
"2015-5-30",31,23,15
"2015-5-31",34,26,17
"2015-6-1",33,28,23
"2015-6-2",35,28,21
"2015-6-3",33,24,16
"2015-6-4",27,22,18
"2015-6-5",32,23,15
"2015-6-6",31,24,17
"2015-6-7",30,22,15
"2015-6-8",33,23,14
"2015-6-9",30,24,19
"2015-6-10",24,21,16
"2015-6-11",30,23,16
"2015-6-12",29,23,18
"2015-6-13",29,23,18
"2015-6-14",33,24,17
"2015-6-15",32,26,21
"2015-6-16",34,27,21
"2015-6-17",33,27,20
"2015-6-18",33,26,19
"2015-6-19",27,22,17
"2015-6-20",32,23,16
"2015-6-21",32,26,19
"2015-6-22",32,26,21
"2015-6-23",31,27,22
"2015-6-24",27,24,22
"2015-6-25",27,24,22
"2015-6-26",29,24,21
"2015-6-27",29,25,21
"2015-6-28",32,28,23
"2015-6-29",28,23,19
"2015-6-30",28,23,18
"2015-7-1",33,24,16
"2015-7-2",34,24,16
"2015-7-3",31,24,17
"2015-7-4",27,23,19
"2015-7-5",31,23,17
"2015-7-6",31,24,19
"2015-7-7",33,27,20
"2015-7-8",34,28,22
"2015-7-9",34,28,23
"2015-7-10",33,28,23
"2015-7-11",35,29,23
"2015-7-12",39,31,23
"2015-7-13",40,32,24
"2015-7-14",36,30,24
"2015-7-15",30,27,24
"2015-7-16",28,24,21
"2015-7-17",28,24,21
"2015-7-18",28,24,20
"2015-7-19",28,24,21
"2015-7-20",29,26,22
"2015-7-21",30,26,22
"2015-7-22",31,26,21
"2015-7-23",31,27,22
"2015-7-24",34,28,23
